Type,Date,Open,High,Low,Close,Adj Close,Volume
Amazon,2022/5/16,113.099998,113.9925,110.353996,110.810501,110.810501,74566000
Amazon,2022/5/17,113.275002,115.800003,111.276497,115.3685,115.3685,76448000
Amazon,2022/5/18,111.439499,112.852997,106.249001,107.112503,107.112503,108380000
Amazon,2022/5/19,106.280502,110.033997,106.193001,107.319,107.319,88142000
Amazon,2022/5/20,109.568497,109.898003,105.009499,107.591003,107.591003,99500000
Amazon,2022/5/23,108.460999,108.819,103.949997,107.556999,107.556999,107798000
Amazon,2022/5/24,104.025002,105.400002,101.260002,104.099998,104.099998,102934000
Amazon,2022/5/25,103.655502,108.175003,103.650002,106.775002,106.775002,93120000
Amazon,2022/5/26,107.970001,112.665497,107.453499,111.077499,111.077499,93002000
Amazon,2022/5/27,113.550003,115.186996,112.627998,115.1465,115.1465,93660000
Amazon,2022/5/31,116.279999,121.994499,115.675003,120.209503,120.209503,144634000
Amazon,2022/6/1,122.255997,125.179001,120.622498,121.683998,121.683998,127528000
Amazon,2022/6/2,121.683998,125.610001,120.044998,125.511002,125.511002,100560000
Amazon,2022/6/3,124.199997,124.400002,121.046501,122.349998,122.349998,97604000
Amazon,2022/6/6,125.25,128.990005,123.809998,124.790001,124.790001,135269000
Amazon,2022/6/7,122.010002,124.099998,120.629997,123,123,85156700
Amazon,2022/6/8,122.610001,123.75,120.75,121.18,121.18,64926600
Amazon,2022/6/9,119.989998,121.300003,116.099998,116.150002,116.150002,67029800
Amazon,2022/6/10,113.419998,114.5,109.050003,109.650002,109.650002,87266000
Amazon,2022/6/13,104.190002,106.540001,101.860001,103.669998,103.669998,99277700
Amazon,2022/6/14,104.190002,104.879997,101.43,102.309998,102.309998,69728800
Amazon,2022/6/15,103.860001,109.059998,103.529999,107.669998,107.669998,85011100
Amazon,2022/6/16,104.470001,104.580002,102.010002,103.660004,103.660004,82186300
Amazon,2022/6/17,102.800003,106.980003,102.510002,106.220001,106.220001,99772100
Amazon,2022/6/21,108.199997,111.629997,103.559998,108.68,108.68,70901200
Amazon,2022/6/22,107.43,112.129997,107.019997,108.949997,108.949997,60040100
Amazon,2022/6/23,110.389999,113,107.93,112.440002,112.440002,64345300
Amazon,2022/6/24,112.379997,116.709999,111.43,116.459999,116.459999,69867600
Amazon,2022/6/27,117.089996,117.980003,112.699997,113.220001,113.220001,62133200
Amazon,2022/6/28,113.5,114.849998,107.040001,107.400002,107.400002,74942900
Amazon,2022/6/29,107.379997,110.989998,106.910004,108.919998,108.919998,66375300
Amazon,2022/6/30,108.110001,108.18,102.519997,106.209999,106.209999,97679400
Amazon,2022/7/1,106.290001,109.75,105.849998,109.559998,109.559998,73021200
Amazon,2022/7/5,107.599998,114.080002,106.32,113.5,113.5,76583700
Amazon,2022/7/6,113.209999,115.480003,112.010002,114.330002,114.330002,66958900
Amazon,2022/7/7,113.849998,116.989998,113.489998,116.330002,116.330002,57872300
Amazon,2022/7/8,114.599998,116.580002,113.690002,115.540001,115.540001,45719700
Amazon,2022/7/11,114.080002,114.300003,110.870003,111.75,111.75,53487600
Amazon,2022/7/12,112.160004,113.230003,108.339996,109.220001,109.220001,54280300
Amazon,2022/7/13,107.029999,111.779999,106.010002,110.400002,110.400002,61353800
Amazon,2022/7/14,110.239998,111.18,107.580002,110.629997,110.629997,51163100
Amazon,2022/7/15,112.5,115.589996,111.589996,113.550003,113.550003,84317800
Amazon,2022/7/18,115,117.239998,113.150002,113.760002,113.760002,59115400
Amazon,2022/7/19,115.699997,118.949997,114.029999,118.209999,118.209999,60990000
Amazon,2022/7/20,118.620003,123.480003,118.32,122.769997,122.769997,71268300
Amazon,2022/7/21,123.199997,124.849998,121.260002,124.629997,124.629997,60239900
Amazon,2022/7/22,125.010002,125.5,121.349998,122.419998,122.419998,51463800
Amazon,2022/7/25,122.699997,123.639999,120.029999,121.139999,121.139999,50221300
Amazon,2022/7/26,115.790001,118.150002,114.529999,114.809998,114.809998,67075100
Amazon,2022/7/27,117.309998,121.900002,117.160004,120.970001,120.970001,61582000
Amazon,2022/7/28,121.57,122.839996,118.080002,122.279999,122.279999,82245500
Amazon,2022/7/29,134.899994,137.649994,132.410004,134.949997,134.949997,148892900
Amazon,2022/8/1,134.960007,138.830002,133.509995,135.389999,135.389999,76846900
Amazon,2022/8/2,134.720001,137.440002,134.089996,134.160004,134.160004,61922400
Amazon,2022/8/3,136.210007,140.490005,136.050003,139.520004,139.520004,71827800
Amazon,2022/8/4,140.580002,143.559998,139.550003,142.570007,142.570007,70585000
Amazon,2022/8/5,140.100006,142.860001,139.600006,140.800003,140.800003,50686900
Amazon,2022/8/8,142.050003,144.229996,138.289993,139.410004,139.410004,52229000
Amazon,2022/8/9,138.050003,138.949997,136.210007,137.830002,137.830002,40434700
Amazon,2022/8/10,142.899994,144.600006,141.009995,142.690002,142.690002,54773800
Amazon,2022/8/11,143.860001,144.490005,139.759995,140.639999,140.639999,44867300
Amazon,2022/8/12,142.050003,143.570007,140.119995,143.550003,143.550003,47643500
Amazon,2022/8/15,142.800003,143.759995,141.490005,143.179993,143.179993,39014600
Amazon,2022/8/16,143.910004,146.570007,142,144.779999,144.779999,59102900
Amazon,2022/8/17,142.690002,143.380005,140.779999,142.100006,142.100006,48149800
Amazon,2022/8/18,141.320007,142.770004,140.380005,142.300003,142.300003,37458700
Amazon,2022/8/19,140.470001,141.110001,137.910004,138.229996,138.229996,47792800
Amazon,2022/8/22,135.720001,136.320007,132.850006,133.220001,133.220001,50461500
Amazon,2022/8/23,133.410004,134.990005,132.949997,133.619995,133.619995,36252100
Amazon,2022/8/24,132.75,135.470001,132.100006,133.800003,133.800003,38627000
Amazon,2022/8/25,135.259995,137.419998,134.279999,137.279999,137.279999,37496300
Amazon,2022/8/26,136.550003,137.830002,130.5,130.75,130.75,53322700
Amazon,2022/8/29,129.899994,131.949997,128.770004,129.789993,129.789993,48101600
Amazon,2022/8/30,131.25,132.070007,126.849998,128.729996,128.729996,49203000
Amazon,2022/8/31,129.449997,130.589996,126.739998,126.769997,126.769997,53648700
Amazon,2022/9/1,126,128.020004,123.660004,127.82,127.82,56636100
Amazon,2022/9/2,129.5,131.380005,126.389999,127.510002,127.510002,57429800
Amazon,2022/9/6,127.919998,128.619995,124.739998,126.110001,126.110001,43888600
Amazon,2022/9/7,126.120003,129.820007,125.400002,129.479996,129.479996,47900300
Amazon,2022/9/8,127.720001,130.279999,127.099998,129.820007,129.820007,43988500
Amazon,2022/9/9,130.910004,133.690002,130.759995,133.270004,133.270004,49387600
Amazon,2022/9/12,134.100006,136.490005,134,136.449997,136.449997,53826900
Amazon,2022/9/13,131.009995,131.399994,126.269997,126.82,126.82,72694000
Amazon,2022/9/14,127.360001,128.839996,126.330002,128.550003,128.550003,45316800
Amazon,2022/9/15,127.379997,130.369995,125.5,126.279999,126.279999,52887200
Amazon,2022/9/16,122.779999,123.870003,120.699997,123.529999,123.529999,115667800
Amazon,2022/9/19,122.160004,124.709999,121.800003,124.660004,124.660004,47279700
Amazon,2022/9/20,123.349998,124.400002,121.139999,122.190002,122.190002,47698400
Amazon,2022/9/21,122.489998,123.760002,118.449997,118.540001,118.540001,58498900
Amazon,2022/9/22,117.080002,118.790001,116.260002,117.309998,117.309998,55229200
Amazon,2022/9/23,116,116.050003,112.059998,113.779999,113.779999,65126700
Amazon,2022/9/26,113.300003,117.339996,113.129997,115.150002,115.150002,62723300
Amazon,2022/9/27,117.199997,118.32,113.050003,114.410004,114.410004,60094700
Amazon,2022/9/28,114.379997,118.699997,113.800003,118.010002,118.010002,55763800
Amazon,2022/9/29,115.599998,116.07,113.059998,114.800003,114.800003,58969700
Amazon,2022/9/30,114.080002,116.919998,112.839996,113,113,59479600
Amazon,2022/10/3,113.580002,116.910004,112.449997,115.879997,115.879997,50941900
Amazon,2022/10/4,119.889999,123,119.790001,121.089996,121.089996,62812600
Amazon,2022/10/5,118.580002,121.75,117.690002,120.949997,120.949997,48217500
Amazon,2022/10/6,120.769997,121.529999,119.5,120.300003,120.300003,42253800
Amazon,2022/10/7,118,118.169998,113.879997,114.559998,114.559998,54678000
Amazon,2022/10/10,115.099998,116.25,112.43,113.669998,113.669998,42339700
Amazon,2022/10/11,112.709999,115.480003,110.389999,112.209999,112.209999,56432200
Amazon,2022/10/12,112.489998,113.830002,111.400002,112.900002,112.900002,45728700
Amazon,2022/10/13,107.879997,113.440002,105.349998,112.529999,112.529999,86868100
Amazon,2022/10/14,114.099998,114.959999,106.599998,106.900002,106.900002,67737300
Amazon,2022/10/17,110.110001,114.190002,110.089996,113.790001,113.790001,62782000
Amazon,2022/10/18,119.059998,119.519997,114.790001,116.360001,116.360001,65607400
Amazon,2022/10/19,114.709999,116.589996,113.220001,115.07,115.07,47198100
Amazon,2022/10/20,113.830002,118.239998,113.510002,115.25,115.25,48795100
Amazon,2022/10/21,114.790001,119.589996,114.5,119.32,119.32,55660500
Amazon,2022/10/24,119.980003,120.389999,116.57,119.82,119.82,49531500
Amazon,2022/10/25,119.650002,121.32,118.949997,120.599998,120.599998,50934600
Amazon,2022/10/26,116,119.349998,114.760002,115.660004,115.660004,68802300
Amazon,2022/10/27,113.919998,114.120003,109.769997,110.959999,110.959999,129605400
